Time,Region
422688.885,None-p02_s01y
422689.085,None-p02_s01y
422689.285,None-p02_s01y
422689.485,None-p02_s01y
422689.685,None-p02_s01y
422689.885,None-p02_s01y
422690.085,None-p02_s01y
422690.285,None-p02_s01y
422690.485,None-p02_s01y
422690.685,None-p02_s01y
422690.885,None-p02_s01y
422691.085,None-p02_s01y
422691.285,None-p02_s01y
422691.485,None-p02_s01y
422691.685,None-p02_s01y
422691.885,None-p02_s01y
422692.085,None-p02_s01y
422692.285,None-p02_s01y
422692.485,None-p02_s01y
422692.685,None-p02_s01y
422692.885,None-p02_s01y
422693.085,None-p02_s01y
422693.285,None-p02_s01y
422693.485,None-p02_s01y
422693.685,None-p02_s01y
422693.885,None-p02_s01y
422694.085,None-p02_s01y
422694.285,None-p02_s01y
422694.485,None-p02_s01y
422694.685,None-p02_s01y
422694.885,None-p02_s01y
422695.085,None-p02_s01y
422695.285,None-p02_s01y
422695.485,None-p02_s01y
422695.685,None-p02_s01y
422695.885,None-p02_s01y
422696.085,None-p02_s01y
422696.285,None-p02_s01y
422696.485,None-p02_s01y
422696.685,None-p02_s01y
422696.885,None-p02_s01y
422697.085,None-p02_s01y
422697.285,None-p02_s01y
422697.485,None-p02_s01y
422697.685,None-p02_s01y
422697.885,None-p02_s01y
422698.085,None-p02_s01y
422698.285,None-p02_s01y
422698.485,None-p02_s01y
422698.685,None-p02_s01y
422698.885,None-p02_s01y
422699.085,None-p02_s01y
422699.285,None-p02_s01y
422699.485,None-p02_s01y
422699.685,None-p02_s01y
422699.885,None-p02_s01y
422700.085,None-p02_s01y
422700.285,None-p02_s01y
422700.485,B
422700.685,F
422700.885,F
422701.085,F
422701.285,F
422701.485,None-p02_s01y
422701.685,F
422701.885,F
422702.085,F
422702.285,F
422702.485,F
422702.685,F
422702.885,F
422703.085,F
422703.285,F
422703.485,F
422703.685,F
422703.885,F
422704.085,F
422704.285,F
422704.485,F
422704.685,F
422704.885,F
422705.085,F
422705.285,F
422705.485,F
422705.685,F
422705.885,F
422706.085,F
422706.285,F
422706.485,F
422706.685,F
422706.885,F
422707.085,F
422707.285,None-p02_s01y
422707.485,F
422707.685,F
422707.885,F
422708.085,F
422708.285,F
422708.485,F
422708.685,F
422708.885,F
422709.085,F
422709.285,F
422709.485,F
422709.685,F
422709.885,F
422710.085,F
422710.285,F
422710.485,F
422710.685,B
422710.885,F
422711.085,F
422711.285,F
422711.485,F
422711.685,F
422711.885,F
422712.085,F
422712.285,F
422712.485,F
422712.685,F
422712.885,F
422713.085,F
422713.285,F
422713.485,F
422713.685,F
422713.885,None-p02_s01y
422714.085,F
422714.285,F
422714.485,F
422714.685,F
422714.885,F
422715.085,F
422715.285,F
422715.485,F
422715.685,F
422715.885,F
422716.085,F
422716.285,F
422716.485,None-p02_s01y
422716.685,None-p02_s01y
422716.885,E
422717.085,E
422717.285,E
422717.485,E
422717.685,E
422717.885,E
422718.085,E
422718.285,E
422718.485,E
422718.685,E
422718.885,E
422719.085,E
422719.285,E
422719.485,E
422719.685,E
422719.885,E
422720.085,E
422720.285,E
422720.485,E
422720.685,E
422720.885,E
422721.085,E
422721.285,E
422721.485,E
422721.685,E
422721.885,E
422722.085,E
422722.285,E
422722.485,E
422722.685,E
422722.885,E
422723.085,E
422723.285,None-p02_s01y
422723.485,E
422723.685,E
422723.885,E
422724.085,E
422724.285,E
422724.485,E
422724.685,E
422724.885,E
422725.085,E
422725.285,E
422725.485,E
422725.685,E
422725.885,E
422726.085,None-p02_s01y
422726.285,None-p02_s01y
422726.485,None-p02_s01y
422726.685,None-p02_s01y
422726.885,None-p02_s01y
422727.085,None-p02_s01y
422727.285,None-p02_s01y
422727.485,None-p02_s01y
422727.685,E
422727.885,E
422728.085,E
422728.285,E
422728.485,E
422728.685,E
422728.885,E
422729.085,None-p02_s01y
422729.285,None-p02_s01y
422729.485,E
422729.685,E
422729.885,E
422730.085,E
422730.285,E
422730.485,E
422730.685,E
422730.885,None-p02_s01y
422731.085,E
422731.285,E
422731.485,F
422731.685,E
422731.885,E
422732.085,E
422732.285,E
422732.485,E
422732.685,E
422732.885,E
422733.085,E
422733.285,E
422733.485,E
422733.685,E
422733.885,E
422734.085,E
422734.285,E
422734.485,E
422734.685,E
422734.885,E
422735.085,None-p02_s01y
422735.285,D
422735.485,D
422735.685,None-p02_s01y
422735.885,D
422736.085,D
422736.285,D
422736.485,D
422736.685,D
422736.885,D
422737.085,D
422737.285,D
422737.485,D
422737.685,D
422737.885,D
422738.085,D
422738.285,D
422738.485,D
422738.685,D
422738.885,D
422739.085,D
422739.285,D
422739.485,D
422739.685,D
422739.885,D
422740.085,D
422740.285,D
422740.485,D
422740.685,D
422740.885,D
422741.085,None-p02_s01y
422741.285,D
422741.485,D
422741.685,D
422741.885,D
422742.085,D
422742.285,D
422742.485,D
422742.685,D
422742.885,D
422743.085,D
422743.285,D
422743.485,D
422743.685,D
422743.885,D
422744.085,D
422744.285,D
422744.485,None-p02_s01y
422744.685,D
422744.885,D
422745.085,D
422745.285,D
422745.485,D
422745.685,D
422745.885,D
422746.085,D
422746.285,D
422746.485,D
422746.685,D
422746.885,D
422747.085,D
422747.285,D
422747.485,D
422747.685,D
422747.885,D
422748.085,D
422748.285,D
422748.485,D
422748.685,D
422748.885,D
