Time,Region
512018.760,None-p03_s02b
512018.960,None-p03_s02b
512019.160,None-p03_s02b
512019.360,None-p03_s02b
512019.560,None-p03_s02b
512019.760,None-p03_s02b
512019.960,None-p03_s02b
512020.160,None-p03_s02b
512020.360,None-p03_s02b
512020.560,None-p03_s02b
512020.760,None-p03_s02b
512020.960,None-p03_s02b
512021.160,None-p03_s02b
512021.360,None-p03_s02b
512021.560,None-p03_s02b
512021.760,None-p03_s02b
512021.960,None-p03_s02b
512022.160,None-p03_s02b
512022.360,None-p03_s02b
512022.560,None-p03_s02b
512022.760,None-p03_s02b
512022.960,None-p03_s02b
512023.160,face
512023.360,face
512023.560,face
512023.760,face
512023.960,face
512024.160,None-p03_s02b
512024.360,None-p03_s02b
512024.560,None-p03_s02b
512024.760,None-p03_s02b
512024.960,None-p03_s02b
512025.160,None-p03_s02b
512025.360,F
512025.560,F
512025.760,face
512025.960,None-p03_s02b
512026.160,D
512026.360,D
512026.560,D
512026.760,C
512026.960,E
512027.160,face
512027.360,F
512027.560,face
512027.760,face
512027.960,face
512028.160,face
512028.360,face
512028.560,None-p03_s02b
512028.760,F
512028.960,F
512029.160,F
512029.360,F
512029.560,F
512029.760,face
512029.960,face
512030.160,face
512030.360,F
512030.560,face
512030.760,face
512030.960,F
512031.160,F
512031.360,F
512031.560,None-p03_s02b
512031.760,face
512031.960,face
512032.160,face
512032.360,face
512032.560,face
512032.760,None-p03_s02b
512032.960,face
512033.160,face
512033.360,face
512033.560,face
512033.760,face
512033.960,face
512034.160,face
512034.360,face
512034.560,face
512034.760,face
512034.960,face
512035.160,face
512035.360,face
512035.560,None-p03_s02b
512035.760,F
512035.960,F
512036.160,None-p03_s02b
512036.360,F
512036.560,face
512036.760,face
512036.960,F
512037.160,F
512037.360,face
512037.560,face
512037.760,face
512037.960,face
512038.160,face
512038.360,face
512038.560,face
512038.760,face
512038.960,face
512039.160,face
512039.360,face
512039.560,face
512039.760,None-p03_s02b
512039.960,face
512040.160,face
512040.360,face
512040.560,face
512040.760,face
512040.960,face
512041.160,face
512041.360,face
512041.560,face
512041.760,face
512041.960,face
512042.160,face
512042.360,face
512042.560,face
512042.760,F
512042.960,E
512043.160,D
512043.360,D
512043.560,D
512043.760,D
512043.960,D
512044.160,D
512044.360,D
512044.560,D
512044.760,D
512044.960,D
512045.160,D
512045.360,D
512045.560,D
512045.760,D
512045.960,D
512046.160,D
512046.360,None-p03_s02b
512046.560,face
512046.760,face
512046.960,face
512047.160,face
512047.360,face
512047.560,face
512047.760,face
512047.960,face
512048.160,face
512048.360,face
512048.560,face
512048.760,face
512048.960,F
512049.160,F
512049.360,face
512049.560,face
512049.760,face
512049.960,D
512050.160,D
512050.360,D
512050.560,D
512050.760,D
512050.960,D
512051.160,D
512051.360,D
512051.560,D
512051.760,D
512051.960,D
512052.160,D
512052.360,C
512052.560,C
512052.760,C
512052.960,E
512053.160,F
512053.360,F
512053.560,face
512053.760,face
512053.960,face
512054.160,face
512054.360,E
512054.560,face
512054.760,face
512054.960,face
512055.160,face
512055.360,face
512055.560,face
512055.760,face
512055.960,face
512056.160,face
512056.360,face
512056.560,None-p03_s02b
512056.760,E
512056.960,F
512057.160,F
512057.360,E
512057.560,F
512057.760,F
512057.960,F
512058.160,E
512058.360,E
512058.560,E
512058.760,E
512058.960,E
512059.160,face
512059.360,B
512059.560,C
512059.760,B
512059.960,C
512060.160,C
512060.360,D
512060.560,D
512060.760,D
512060.960,D
512061.160,D
512061.360,None-p03_s02b
512061.560,A
512061.760,A
512061.960,A
512062.160,A
512062.360,face
512062.560,face
512062.760,face
512062.960,face
512063.160,face
512063.360,face
512063.560,A
512063.760,A
512063.960,A
512064.160,A
512064.360,A
512064.560,A
512064.760,face
512064.960,face
512065.160,None-p03_s02b
512065.360,None-p03_s02b
512065.560,None-p03_s02b
512065.760,face
512065.960,face
512066.160,None-p03_s02b
512066.360,None-p03_s02b
512066.560,None-p03_s02b
512066.760,E
512066.960,E
512067.160,E
512067.360,E
512067.560,E
512067.760,E
512067.960,E
512068.160,face
512068.360,face
512068.560,face
512068.760,face
512068.960,A
512069.160,face
512069.360,None-p03_s02b
512069.560,F
512069.760,C
512069.960,B
512070.160,B
512070.360,face
512070.560,None-p03_s02b
512070.760,C
512070.960,C
512071.160,D
512071.360,D
512071.560,E
512071.760,E
512071.960,F
512072.160,F
512072.360,E
512072.560,None-p03_s02b
512072.760,F
512072.960,E
512073.160,D
512073.360,D
512073.560,D
512073.760,D
512073.960,D
512074.160,D
512074.360,C
512074.560,D
512074.760,D
512074.960,D
512075.160,C
512075.360,C
512075.560,C
512075.760,face
512075.960,None-p03_s02b
512076.160,face
512076.360,None-p03_s02b
512076.560,None-p03_s02b
512076.760,face
512076.960,face
512077.160,face
512077.360,face
512077.560,face
512077.760,face
512077.960,None-p03_s02b
512078.160,face
512078.360,face
512078.560,face
512078.760,B
512078.960,B
512079.160,face
512079.360,F
512079.560,None-p03_s02b
512079.760,B
512079.960,B
512080.160,B
512080.360,B
512080.560,B
512080.760,B
512080.960,B
512081.160,B
512081.360,B
512081.560,B
512081.760,None-p03_s02b
512081.960,face
512082.160,None-p03_s02b
512082.360,None-p03_s02b
512082.560,None-p03_s02b
512082.760,None-p03_s02b
512082.960,None-p03_s02b
512083.160,None-p03_s02b
512083.360,None-p03_s02b
512083.560,None-p03_s02b
512083.760,None-p03_s02b
512083.960,face
512084.160,None-p03_s02b
512084.360,None-p03_s02b
512084.560,None-p03_s02b
512084.760,None-p03_s02b
512084.960,None-p03_s02b
512085.160,face
512085.360,None-p03_s02b
512085.560,None-p03_s02b
512085.760,None-p03_s02b
512085.960,None-p03_s02b
512086.160,None-p03_s02b
512086.360,None-p03_s02b
512086.560,None-p03_s02b
512086.760,None-p03_s02b
512086.960,face
512087.160,face
512087.360,face
512087.560,face
512087.760,face
512087.960,None-p03_s02b
512088.160,C
512088.360,C
512088.560,C
512088.760,C
512088.960,C
512089.160,C
512089.360,B
512089.560,B
512089.760,C
512089.960,C
512090.160,C
512090.360,C
512090.560,C
512090.760,C
512090.960,C
512091.160,C
512091.360,E
512091.560,E
512091.760,face
512091.960,face
512092.160,face
512092.360,B
512092.560,B
512092.760,B
512092.960,B
512093.160,A
512093.360,F
512093.560,None-p03_s02b
512093.760,F
512093.960,B
512094.160,B
512094.360,B
512094.560,B
512094.760,B
512094.960,None-p03_s02b
512095.160,None-p03_s02b
512095.360,None-p03_s02b
512095.560,face
512095.760,face
512095.960,None-p03_s02b
512096.160,None-p03_s02b
512096.360,None-p03_s02b
512096.560,None-p03_s02b
512096.760,face
512096.960,B
512097.160,B
512097.360,B
512097.560,B
512097.760,B
512097.960,B
512098.160,B
512098.360,B
512098.560,B
512098.760,B
512098.960,B
512099.160,B
512099.360,None-p03_s02b
512099.560,B
512099.760,B
512099.960,B
512100.160,B
512100.360,B
512100.560,B
512100.760,B
512100.960,B
512101.160,B
512101.360,B
512101.560,B
512101.760,B
512101.960,B
512102.160,B
512102.360,B
512102.560,B
512102.760,B
512102.960,B
512103.160,B
512103.360,B
512103.560,face
512103.760,E
512103.960,face
512104.160,face
512104.360,E
512104.560,C
512104.760,C
512104.960,None-p03_s02b
512105.160,D
512105.360,B
512105.560,face
512105.760,E
512105.960,None-p03_s02b
512106.160,None-p03_s02b
512106.360,face
512106.560,E
512106.760,E
512106.960,E
512107.160,None-p03_s02b
512107.360,A
512107.560,face
512107.760,E
512107.960,E
512108.160,F
512108.360,face
512108.560,face
512108.760,face
512108.960,face
512109.160,face
512109.360,E
512109.560,E
512109.760,E
512109.960,E
512110.160,E
512110.360,E
512110.560,face
512110.760,face
512110.960,face
512111.160,face
512111.360,face
512111.560,face
512111.760,face
512111.960,face
512112.160,face
512112.360,face
512112.560,face
512112.760,E
512112.960,E
512113.160,None-p03_s02b
512113.360,A
512113.560,A
512113.760,A
512113.960,A
512114.160,A
512114.360,A
512114.560,A
512114.760,A
512114.960,A
512115.160,A
512115.360,A
512115.560,None-p03_s02b
512115.760,F
512115.960,A
512116.160,A
512116.360,F
512116.560,F
512116.760,A
512116.960,A
512117.160,A
